"Sample","ExhaustionScore","Group"
"GSM764749",3.43070571428571,"Low_exhaustion"
"GSM764750",3.70684571428571,"High_exhaustion"
"GSM764751",4.19414,"High_exhaustion"
"GSM764752",3.61232714285714,"Low_exhaustion"
"GSM764753",3.68420214285714,"Low_exhaustion"
"GSM764754",3.32576285714286,"Low_exhaustion"
"GSM764755",3.42995642857143,"Low_exhaustion"
"GSM764756",3.69530142857143,"High_exhaustion"
"GSM764757",4.63801142857143,"High_exhaustion"
"GSM764758",3.58568857142857,"Low_exhaustion"
"GSM764759",4.13868428571429,"High_exhaustion"
"GSM764760",4.17630428571429,"High_exhaustion"
"GSM764761",4.59930928571429,"High_exhaustion"
"GSM764762",3.61468857142857,"Low_exhaustion"
"GSM764763",4.70008714285714,"High_exhaustion"
"GSM764764",3.64060571428571,"Low_exhaustion"
"GSM764765",3.30627357142857,"Low_exhaustion"
"GSM764766",4.37735571428571,"High_exhaustion"
"GSM764767",3.92637071428571,"High_exhaustion"
"GSM764768",3.39607571428571,"Low_exhaustion"
"GSM764769",4.24321,"High_exhaustion"
"GSM764770",3.39947071428571,"Low_exhaustion"
"GSM764771",3.66821928571429,"Low_exhaustion"
"GSM764772",3.47251571428571,"Low_exhaustion"
"GSM764773",3.42743214285714,"Low_exhaustion"
"GSM764774",3.06093428571429,"Low_exhaustion"
"GSM764775",3.09248571428571,"Low_exhaustion"
"GSM764776",3.78478071428571,"High_exhaustion"
"GSM764777",3.91058285714286,"High_exhaustion"
"GSM764778",3.72319571428571,"High_exhaustion"
"GSM764779",3.82213071428571,"High_exhaustion"
"GSM764780",3.83434428571429,"High_exhaustion"
"GSM764781",3.67071571428571,"Low_exhaustion"
"GSM764782",3.57165785714286,"Low_exhaustion"
"GSM764783",3.97190142857143,"High_exhaustion"
"GSM764784",4.32532214285714,"High_exhaustion"
"GSM764785",4.16948071428571,"High_exhaustion"
"GSM764786",3.64431214285714,"Low_exhaustion"
"GSM764787",3.93446,"High_exhaustion"
"GSM764788",3.38331642857143,"Low_exhaustion"
"GSM764789",4.58077928571429,"High_exhaustion"
"GSM764790",4.29568785714286,"High_exhaustion"
"GSM764791",3.413155,"Low_exhaustion"
"GSM764792",3.31826071428571,"Low_exhaustion"
"GSM764793",3.67140357142857,"Low_exhaustion"
"GSM764794",4.77757071428571,"High_exhaustion"
"GSM764795",3.49135,"Low_exhaustion"
"GSM764796",3.24667785714286,"Low_exhaustion"
"GSM764797",3.35973571428571,"Low_exhaustion"
"GSM764798",3.29367857142857,"Low_exhaustion"
"GSM764799",3.7967,"High_exhaustion"
"GSM764800",4.00308642857143,"High_exhaustion"
"GSM764801",4.52119857142857,"High_exhaustion"
"GSM764802",3.52184,"Low_exhaustion"
"GSM764803",3.42813642857143,"Low_exhaustion"
"GSM764804",3.57359642857143,"Low_exhaustion"
"GSM764805",3.53881214285714,"Low_exhaustion"
"GSM764806",3.34587857142857,"Low_exhaustion"
"GSM764807",3.44126928571429,"Low_exhaustion"
"GSM764808",3.90377357142857,"High_exhaustion"
"GSM764809",3.52680714285714,"Low_exhaustion"
"GSM764810",3.49894428571429,"Low_exhaustion"
"GSM764811",4.03096857142857,"High_exhaustion"
"GSM764812",4.54180071428571,"High_exhaustion"
"GSM764813",3.35666285714286,"Low_exhaustion"
"GSM764814",4.74604285714286,"High_exhaustion"
"GSM764815",3.73754785714286,"High_exhaustion"
"GSM764816",4.00786214285714,"High_exhaustion"
"GSM764817",5.12337285714286,"High_exhaustion"
"GSM764818",3.44378642857143,"Low_exhaustion"
"GSM764819",3.87479142857143,"High_exhaustion"
"GSM764820",4.68890142857143,"High_exhaustion"
"GSM764821",3.73125,"High_exhaustion"
"GSM764822",4.44925285714286,"High_exhaustion"
"GSM764823",4.12100857142857,"High_exhaustion"
"GSM764824",3.97059214285714,"High_exhaustion"
"GSM764825",4.63746142857143,"High_exhaustion"
"GSM764826",3.22679785714286,"Low_exhaustion"
"GSM764827",4.23356142857143,"High_exhaustion"
"GSM764828",3.55357214285714,"Low_exhaustion"
"GSM764829",3.56842928571429,"Low_exhaustion"
"GSM764830",3.09114928571429,"Low_exhaustion"
"GSM764831",3.79436642857143,"High_exhaustion"
"GSM764832",4.32951214285714,"High_exhaustion"
"GSM764833",3.50563285714286,"Low_exhaustion"
"GSM764834",3.83202,"High_exhaustion"
"GSM764835",3.96642642857143,"High_exhaustion"
"GSM764836",3.45119285714286,"Low_exhaustion"
"GSM764837",3.41895714285714,"Low_exhaustion"
"GSM764838",3.86193,"High_exhaustion"
"GSM764839",3.474195,"Low_exhaustion"
"GSM764840",3.77394071428571,"High_exhaustion"
"GSM764841",3.44098714285714,"Low_exhaustion"
"GSM764842",3.85616142857143,"High_exhaustion"
"GSM764843",4.48276357142857,"High_exhaustion"
"GSM764844",4.50696357142857,"High_exhaustion"
"GSM764845",3.30281714285714,"Low_exhaustion"
"GSM764846",5.30757714285714,"High_exhaustion"
"GSM764847",3.12217,"Low_exhaustion"
"GSM764848",4.03276571428571,"High_exhaustion"
"GSM764849",3.27072214285714,"Low_exhaustion"
"GSM764850",3.68472785714286,"High_exhaustion"
"GSM764851",3.00253857142857,"Low_exhaustion"
"GSM764852",3.83341928571429,"High_exhaustion"
"GSM764853",3.30028642857143,"Low_exhaustion"
"GSM764854",3.90950357142857,"High_exhaustion"
"GSM764855",3.42038785714286,"Low_exhaustion"
"GSM764856",3.24157857142857,"Low_exhaustion"
"GSM764857",4.17405214285714,"High_exhaustion"
"GSM764858",5.79898571428571,"High_exhaustion"
"GSM764859",3.904195,"High_exhaustion"
"GSM764860",3.85321142857143,"High_exhaustion"
"GSM764861",4.284225,"High_exhaustion"
"GSM764862",3.56393,"Low_exhaustion"
"GSM764863",3.89782071428571,"High_exhaustion"
"GSM764864",3.101685,"Low_exhaustion"
"GSM764865",4.64845,"High_exhaustion"
"GSM764866",4.08749785714286,"High_exhaustion"
"GSM764867",5.10335142857143,"High_exhaustion"
"GSM764868",4.70913076387143,"High_exhaustion"
"GSM764869",3.64930072594286,"Low_exhaustion"
"GSM764870",4.43422773370714,"High_exhaustion"
"GSM764871",3.70473689005,"High_exhaustion"
"GSM764872",3.31466942026429,"Low_exhaustion"
